sweep_index,n,mean_signed_step_height,sd_signed_step_height,mean_step_depth,median_step_depth,sd_step_depth,mad_step_depth,sem_step_depth,repeatability_limit_2p8sr_depth,min_step_depth,max_step_depth,mean_Rq,mean_L2_to_mean
all,7500.0,-0.002848724692441475,0.07538582060335591,0.058593332684873364,0.04787232851124825,0.04751317511255099,0.04161164141500521,0.0005486348888257028,0.13303689031514276,4.92805928400952e-06,0.429902660235484,0.21685690827359172,0.2132202896708254
1.0,1500.0,-0.005643677036051128,0.07379141080767884,0.05748032288947886,0.04736664366658215,0.04659241355046017,0.04042579369766764,0.0012030109449369401,0.13045875794128847,1.89745556948284e-05,0.416601608697996,0.2231365137968197,0.21973102033503716
2.0,1500.0,-0.005472941075041275,0.07406338944930721,0.057522577645192766,0.0469100977885597,0.04695002038645391,0.04071748364914647,0.001212244313738898,0.13146005708207095,4.92805928400952e-06,0.39078780178504,0.2180457466736832,0.21379951291264887
3.0,1500.0,-0.0023218677220279284,0.0761636565092975,0.059863468317455724,0.0508649476325414,0.0471197592985379,0.042668111264061566,0.0012166269536035958,0.1319353260359061,0.0001025334111006,0.401911788602246,0.21812215699840143,0.2139530095923711
4.0,1500.0,-0.0003537961503941573,0.07529515761235965,0.058283635693017005,0.0470280650748504,0.047647011028218327,0.04162003026572287,0.0012302405347256714,0.1334116308790113,3.53196809317335e-05,0.425989096771486,0.21602475021293124,0.21297004822978713
5.0,1500.0,-0.00045134147869288347,0.07747572094764757,0.05981665887922251,0.04804473306273856,0.04921657805551196,0.04255055803780985,0.0012707665811087683,0.1378064185554335,5.41887155831589e-05,0.429902660235484,0.2089553736861231,0.20564785728428273
