angle_deg,angular_mean_deviation,first_harmonic_eccentricity_fit,roundness_residual,pixel_count
0.25,168.60130576538427,155.93822777081056,12.663077994573712,360
0.7500000000000001,152.46578317419824,155.93823508053012,-3.4724519063318837,240
1.25,154.44517285988914,155.93824201971867,-1.4930691598295311,240
1.75,155.20306323992492,155.93824858784777,-0.735185347922851,240
2.25,156.73485318943395,155.9382547844172,0.7965984050167378,238
2.75,155.11566314241617,155.93826060895515,-0.8225974665389799,239
3.25,156.69677747078512,155.938266061018,0.7585114097671237,238
3.7499999999999996,156.3919273160323,155.93827114019052,0.4536561758417861,239
4.25,156.35747122673973,155.93827584608601,0.41919538065371853,239
4.75,155.7181220398711,155.93828017834605,-0.22015813847494314,239
5.25,155.8269607481575,155.93828413664068,-0.11132338848318568,240
5.75,155.48671321971602,155.93828772066848,-0.45157450095246077,238
6.25,157.30972546267003,155.93829093015654,1.37143453251349,241
6.75,155.58365040974286,155.93829376486045,-0.35464335511758804,237
7.250000000000001,156.30661166898702,155.9382962245643,0.3683154444227057,242
7.75,155.7787354175756,155.93829830908078,-0.15956289150517478,238
8.25,156.7312433982607,155.93830001825117,0.7929433800095183,239
8.75,156.02204515401016,155.9383013519453,0.08374380206484489,239
9.25,157.74495283335344,155.9383023100616,1.806650523291836,241
9.75,153.57436619739195,155.9383028925271,-2.363936695135152,235
10.25,157.12228817720145,155.93830309929749,1.1839850779039693,242
10.75,155.65497872575182,155.93830293035694,-0.28332420460512253,237
11.25,157.3106731398611,155.93830238571837,1.372370754142736,241
11.75,155.2883286282561,155.93830146542325,-0.6499728371671551,239
12.25,155.8609842023296,155.93830016954163,-0.07731596721203005,238
12.75,157.58360643941407,155.9382984981723,1.6453079412417821,246
13.25,155.13537045317608,155.9382964514424,-0.8029259982663177,236
13.75,152.58850796037729,155.9382940295079,-3.3497860691306016,226
14.250000000000002,159.08934871529257,155.93829123255318,3.1510574827393896,249
14.750000000000002,155.99351176201898,155.93828806079128,0.05522370122770326,241
15.25,155.85102575943898,155.93828451446373,-0.08725875502474878,239
15.75,156.63437796450134,155.93828059384055,0.6960973706607945,241
16.25,155.56037661320622,155.93827629922038,-0.37789968601416035,235
16.75,156.2415679099917,155.93827163093027,0.30329627906141354,241
17.25,155.95490794408406,155.93826658932568,0.016641354758377247,239
17.75,155.96408933339367,155.93826117479057,0.025828158603104612,238
18.25,160.35604537771576,155.93825538773729,4.417789989978473,247
18.75,152.17031229218142,155.9382492286065,-3.7679369364250874,234
19.25,155.76759683633793,155.9382426978673,-0.17064586152937977,238
19.75,156.97835078452738,155.938235796017,1.0401149885103678,242
20.25,154.4461010560529,155.9382285235812,-1.4921274675282916,237
20.75,156.99214785593867,155.93822088111375,1.0539269748249183,239
21.25,155.45282103660082,155.93821286919663,-0.4853918325958091,237
21.75,156.64342580943494,155.93820448844,0.7052213209949514,242
22.25,155.60768211767476,155.93819573948204,-0.3305136218072846,240
22.75,156.2259974237622,155.9381866229891,0.2878108007731157,239
23.25,156.44096086816654,155.93817713965535,0.50278372851119,243
23.75,155.7865732103272,155.93816729020304,-0.15159407987584927,237
24.25,155.7146571520034,155.9381570753822,-0.22349992337879598,239
24.75,156.14259935932907,155.93814649597076,0.2044528633583127,237
25.25,156.08407292404414,155.93813555277436,0.14593737126978112,240
25.75,155.4295704358437,155.9381242466264,-0.5085538107827006,238
26.250000000000004,150.4022705996363,155.93811257838783,-5.5358419787515345,220
