sample,input_folder,total_available_frames,processed_frames,frame_selection,downsample,wavelength_nm,phase_to_height_scale_nm_per_rad,fringe_order_to_height_scale_nm,reference_model,phase_retrieval_method,phase_unwrapping_method,frequency_bin,frequency_cycles_per_selected_sequence,frequency_confidence_fraction,probe_pixel_count,height_mean_nm,height_std_nm,height_min_nm,height_max_nm,residual_median_nm,residual_mad_nm,profile_all_pixels_mean_nm,profile_all_pixels_Ra_nm,profile_all_pixels_Rq_nm,profile_all_pixels_Rp_nm,profile_all_pixels_Rv_nm,profile_all_pixels_Rz_nm,profile_centre_row_mean_nm,profile_centre_row_Ra_nm,profile_centre_row_Rq_nm,profile_centre_row_Rp_nm,profile_centre_row_Rv_nm,profile_centre_row_Rz_nm,profile_centre_column_mean_nm,profile_centre_column_Ra_nm,profile_centre_column_Rq_nm,profile_centre_column_Rp_nm,profile_centre_column_Rv_nm,profile_centre_column_Rz_nm,reference_coefficient_0,reference_coefficient_1,reference_coefficient_2,reference_coefficient_3,reference_coefficient_4,reference_coefficient_5,banach_l1_mean_nm,banach_l2_rms_nm,banach_linf_nm,banach_bv_total_variation_nm,banach_bv_total_variation_density_nm,banach_w12_gradient_seminorm_nm,banach_w12_norm_nm,banach_scale_l1_sigma_1p0_nm,banach_scale_l2_sigma_1p0_nm,banach_scale_l1_sigma_2p0_nm,banach_scale_l2_sigma_2p0_nm,banach_scale_l1_sigma_4p0_nm,banach_scale_l2_sigma_4p0_nm,banach_scale_l1_sigma_8p0_nm,banach_scale_l2_sigma_8p0_nm,banach_lowpass_l2_last_scale_nm,step_edge_column,step_left_level_nm,step_right_level_nm,step_height_nm,step_depth_nm
ceramic,ceramic,24000.0,64.0,stratified,4.0,532.0,42.33521486244416,266.0,quadratic,temporal Fourier demodulation of intensity sequence,skimage.restoration.unwrap_phase,1.0,1.0,0.09785983844945668,64.0,-4.881933753527317,458.7687099534,-1576.100026912243,1650.0308621341048,5.704285442768068,192.740678295577,-6.321745857156201e-14,219.74710177969473,272.73563210177934,1169.7648741603218,1021.4577500239985,2191.2226241843205,-9.922250841032767,157.26176835473282,196.97593706295842,401.76403873320703,544.2214363492244,945.9854750824314,19.623625477399056,165.54791266003596,207.41736445563276,465.01244184238595,545.4108549618352,1010.4232968042211,-13.122743123456893,-354.6479415548043,-521.6687165759514,79.55179705318719,72.28950015485728,-57.46263686122796,219.74710177969473,272.73563210177934,1169.7648741603218,8324825.48710677,26.325723180741406,36.65526763529867,275.18781525236994,65.61890054683151,98.13776247142088,37.627837473746524,51.909550776928064,48.07704542888344,63.58894578967989,56.5783647884872,70.87671056042957,125.25393287684219,,,,,
steel,steel,100000.0,64.0,stratified,4.0,532.0,42.33521486244416,266.0,step,temporal Fourier demodulation of intensity sequence,skimage.restoration.unwrap_phase,6.0,6.0,0.05513248073074123,64.0,20.962956133769982,153.48298168641193,-593.8014724346832,885.2699294644608,-0.33046171572743965,50.22602378828836,10.146838744354923,92.41692416095555,141.44918169452072,774.6899171714302,563.9581765218154,1338.6480936932458,0.7747060067441144,49.909971522802024,82.11910297067136,330.32482878330427,199.58602981143963,529.9108585947439,-12.960956710036676,74.0729524411781,112.77326947339046,350.2275000077,494.31484731882955,844.5423473265296,21.072948407554815,-57.525564467279494,-85.68334964739289,,,,91.85727564908076,141.81265577709723,784.8367559157851,2897479.1111572348,9.43189814829829,15.490976053565948,142.6562290180335,23.868056290750225,43.19429535489792,12.484290549085518,20.53671046733545,14.644772987936342,23.7386900705413,17.43033703829004,28.690523135707902,97.26134769366058,50.0,-12.644721720087645,-8.980594570625716,3.6641271494619296,3.6641271494619296
