sample,family,descriptor,value,unit,sweep_mean,standard_uncertainty,expanded_uncertainty_95,relative_standard_uncertainty,repeat_count
ceramic,ISO/profile,Ra,49.89817310221605,nm,49.90460442016527,10.783358710181636,29.939403508475852,0.21607943466283314,5.0
ceramic,ISO/profile,Rz,507.0065629519525,nm,263.8792941037998,37.73600764621763,104.77195371904764,0.14300480746084518,5.0
ceramic,ISO/roundness,RONt,513.9787703153047,nm,264.96909180665614,37.85846114186303,105.11193912764668,0.14287878213919292,5.0
ceramic,Banach,L1 mean,49.89817310221605,nm,49.90460442016527,10.783358710181636,29.939403508475852,0.21607943466283314,5.0
ceramic,Banach,L2 RMS,68.50443163398,nm,64.16290461817849,11.999647570794707,33.31636276203162,0.187018459376214,5.0
ceramic,Banach,L infinity,271.47242961015064,nm,170.39614854072323,34.898551917377546,96.89391364949414,0.2048083376076842,5.0
ceramic,Banach,BV total variation,7697.356771875103,nm,1434.6820629805582,292.3835235909716,811.7868029146382,0.20379673736461412,5.0
ceramic,Banach,BV density,38.68018478329197,nm/sample,36.78671956360405,7.497013425409529,20.815046228580467,0.20379673736461418,5.0
ceramic,Banach,W12 gradient,33.38611962593732,nm/sample,31.520461376055312,2.9173148621969225,8.099764569467435,0.09255305077523632,5.0
steel,ISO/profile,Ra,317.752406327784,nm,187.7557137041564,38.81099701077731,107.75660267841906,0.20671007153439366,5.0
steel,ISO/profile,Rz,1773.6147279843067,nm,759.5759060085624,108.08714869724871,300.09803493526283,0.14229933814676618,5.0
steel,ISO/step,step depth,330.7824781265658,nm,0.0,0.0,0.0,,5.0
steel,Banach,L1 mean,317.752406327784,nm,187.7557137041564,38.81099701077731,107.75660267841906,0.20671007153439366,5.0
steel,Banach,L2 RMS,396.0592904669634,nm,217.46453051802646,39.8971728594039,110.77231029672242,0.1834651966661601,5.0
steel,Banach,L infinity,957.6227661711906,nm,418.03247968371704,57.611347472426,159.95474369366673,0.13781548150520428,5.0
steel,Banach,BV total variation,8772.753195082016,nm,1545.03294058791,111.11761804182883,308.5119667134743,0.07191925500277475,5.0
steel,Banach,BV density,44.084186909959875,nm/sample,39.616229245843854,2.8491696933802273,7.910563249063445,0.07191925500277475,5.0
steel,Banach,W12 gradient,56.30591684063648,nm/sample,45.49086471757543,2.5178979366781284,6.990805401677627,0.055349529016654124,5.0
