sample,family,descriptor,value,unit,sweep_mean,standard_uncertainty,expanded_uncertainty_95,relative_standard_uncertainty,repeat_count
ceramic,ISO/profile,Ra,127.57576938035734,nm,127.56225468602194,37.44249803216461,103.95704038778163,0.29352333199444064,5.0
ceramic,ISO/profile,Rz,1041.1745330640788,nm,557.1647499061413,155.75836195702382,432.4545416492058,0.2795553056492941,5.0
ceramic,ISO/roundness,RONt,1032.1909163152427,nm,531.4617056671332,155.75187025569008,432.43651779681335,0.29306320398038443,5.0
ceramic,Banach,L1 mean,127.57576938035734,nm,127.56225468602194,37.44249803216461,103.95704038778163,0.29352333199444064,5.0
ceramic,Banach,L2 RMS,171.3361041585697,nm,148.08119597275373,43.092090096052004,119.64282261992612,0.29100312036904913,5.0
ceramic,Banach,L infinity,535.3802931124981,nm,295.6038606809777,78.05431404845858,216.7135181794146,0.26405038780158746,5.0
ceramic,Banach,BV total variation,4680.160934280128,nm,695.5295766504004,156.78963095530403,435.3178034116232,0.22542482191826685,5.0
ceramic,Banach,BV density,11.729726652331147,nm/sample,8.804171856334182,1.9846788728519498,5.51035194191928,0.22542482191826682,5.0
ceramic,Banach,W12 gradient,30.985695564180162,nm/sample,13.554125481116994,2.687467705503222,7.46160655632158,0.19827673199921916,5.0
steel,ISO/profile,Ra,838.917309887493,nm,780.028929392663,200.13788647544845,555.6718552693916,0.2565775177483192,5.0
steel,ISO/profile,Rz,5416.551118865575,nm,3056.083049638637,753.2283407101575,2091.2971396609764,0.24646854436734697,5.0
steel,ISO/step,step depth,385.1178543044112,nm,0.0,0.0,0.0,,5.0
steel,Banach,L1 mean,838.917309887493,nm,780.028929392663,200.13788647544845,555.6718552693916,0.2565775177483192,5.0
steel,Banach,L2 RMS,1051.4260718541243,nm,894.6581857771383,225.25851824474097,625.4179103847201,0.25178165451990114,5.0
steel,Banach,L infinity,2836.7513396966106,nm,1708.973031445325,403.3547232209808,1119.892246945305,0.23602170180523724,5.0
steel,Banach,BV total variation,25677.35558756503,nm,4113.8248112446545,907.8709569900938,2520.653874686387,0.22068780238490848,5.0
steel,Banach,BV density,64.35427465555145,nm/sample,52.073731787907015,11.492037430254351,31.907011071979582,0.2206878023849085,5.0
steel,Banach,W12 gradient,173.39217819375835,nm/sample,90.4085236412611,19.61416979273732,54.45766571356406,0.21695044894844082,5.0
