sample,input_folder,total_available_frames,processed_frames,frame_selection,downsample,wavelength_nm,phase_to_height_scale_nm_per_rad,fringe_order_to_height_scale_nm,reference_model,phase_retrieval_method,phase_unwrapping_method,frequency_bin,frequency_cycles_per_selected_sequence,frequency_confidence_fraction,probe_pixel_count,height_mean_nm,height_std_nm,height_min_nm,height_max_nm,residual_median_nm,residual_mad_nm,profile_all_pixels_mean_nm,profile_all_pixels_Ra_nm,profile_all_pixels_Rq_nm,profile_all_pixels_Rp_nm,profile_all_pixels_Rv_nm,profile_all_pixels_Rz_nm,profile_centre_row_mean_nm,profile_centre_row_Ra_nm,profile_centre_row_Rq_nm,profile_centre_row_Rp_nm,profile_centre_row_Rv_nm,profile_centre_row_Rz_nm,profile_centre_column_mean_nm,profile_centre_column_Ra_nm,profile_centre_column_Rq_nm,profile_centre_column_Rp_nm,profile_centre_column_Rv_nm,profile_centre_column_Rz_nm,reference_coefficient_0,reference_coefficient_1,reference_coefficient_2,reference_coefficient_3,reference_coefficient_4,reference_coefficient_5,banach_l1_mean_nm,banach_l2_rms_nm,banach_linf_nm,banach_bv_total_variation_nm,banach_bv_total_variation_density_nm,banach_w12_gradient_seminorm_nm,banach_w12_norm_nm,banach_scale_l1_sigma_1p0_nm,banach_scale_l2_sigma_1p0_nm,banach_scale_l1_sigma_2p0_nm,banach_scale_l2_sigma_2p0_nm,banach_scale_l1_sigma_4p0_nm,banach_scale_l2_sigma_4p0_nm,banach_scale_l1_sigma_8p0_nm,banach_scale_l2_sigma_8p0_nm,banach_lowpass_l2_last_scale_nm,roundness_bin_count,roundness_valid_bin_count,roundness_profile_mean_nm,roundness_eccentricity_cos_nm,roundness_eccentricity_sin_nm,roundness_eccentricity_amplitude_nm,roundness_RONt_nm,roundness_RONq_nm,step_edge_column,step_left_level_nm,step_right_level_nm,step_height_nm,step_depth_nm
ceramic,ceramic,24000.0,512.0,stratified,1.0,532.0,42.33521486244416,266.0,quadratic,temporal Fourier demodulation of intensity sequence,skimage.restoration.unwrap_phase,1.0,1.0,0.08802329016815309,256.0,221.94261532050942,1940.698684186887,-4062.995083785583,8642.423147693493,43.69007991402282,552.9165769511708,1.0322874244686212e-12,803.7364220456398,1140.9147051050431,5988.702136059898,3868.9120344145012,9857.6141704744,-155.5226215102653,1482.89171946473,2123.716381493188,6050.43135168181,2639.3454344233196,8689.776786105129,78.19149517829223,591.5957229619398,700.8372927407655,1351.5631873658788,1378.3166677596384,2729.879855125517,-455.1878871505831,-2299.0712407468172,1097.0966690160203,832.2061534295137,962.9901262883257,1194.0121728787121,803.7364220456398,1140.914705105043,5988.702136059899,36671387.39952197,115.96649020796008,294.4457563921756,1178.2973596602378,73.42622226919956,195.77378403030667,47.15100913554556,105.93640510698278,62.46472938914379,132.74082537043685,87.22896580901406,170.85412381571248,975.3048341614332,720.0,720.0,61.65381768167305,84.03022216246865,-36.79884561656395,91.73458058652443,4037.704266722896,595.4865637874199,,,,,
steel,steel,100000.0,512.0,stratified,1.0,532.0,42.33521486244416,266.0,step,temporal Fourier demodulation of intensity sequence,skimage.restoration.unwrap_phase,11.0,11.0,0.022263123930121632,256.0,-10.28789778843234,68.4443769528774,-513.6579117800464,423.65757822176516,-0.6995908636073368,33.80970573775387,-4.521005170320077,45.37900730147493,61.97716049936675,419.4896870202216,516.3255983622703,935.8152853824919,10.13370261250704,43.060387499070806,58.661302263581454,328.72028842321674,184.35343864710381,513.0737270703205,29.746765028060434,37.0633076415089,52.97693996939294,230.9225627624527,217.70219557664444,448.6247583390972,-10.2879822833062,-37.85544582628967,-32.40289140027588,,,,45.26533602503497,62.14183704489535,520.8466035325904,5399826.618470984,17.5775606070019,29.491218400780692,68.78473576366252,9.883873415171058,19.80638259177669,6.160869493910121,10.490233955433325,7.273253198081708,11.543512012187064,8.742380303189403,12.709811872798017,41.659109693268334,,,,,,,,,477.0,7.632351384056837,-4.64987780640198,-12.282229190458818,12.282229190458818
