sample,family,descriptor,value,unit,sweep_mean,standard_uncertainty,expanded_uncertainty_95,relative_standard_uncertainty,repeat_count
ceramic,ISO/profile,Ra,4.841631524298888,nm,4.7928239336446525,1.4266260063120706,3.960948792173032,0.2976587552689856,5.0
ceramic,ISO/profile,Rq,6.598678450348536,nm,5.795206635881951,1.5316662791545745,4.252587343555244,0.2642988206272089,5.0
ceramic,ISO/profile,Rz,46.555447017952886,nm,29.441596518068252,4.537586904992127,12.59836095177502,0.15412163203199317,5.0
ceramic,ISO/roundness,RONt,47.30785711775964,nm,29.606837580583555,4.6537107644374585,12.920772472928688,0.15718364893822387,5.0
ceramic,ISO/roundness,RONq,6.651453573693743,nm,5.914887737297528,1.5211786300571821,4.223468961553756,0.2571779377087888,5.0
ceramic,Banach,L1 mean,4.841631524298888,nm,4.7928239336446525,1.4266260063120706,3.960948792173032,0.2976587552689856,5.0
ceramic,Banach,L2 RMS,6.598678450348536,nm,5.795206635881951,1.5316662791545745,4.252587343555244,0.2642988206272089,5.0
ceramic,Banach,L infinity,24.534487305452295,nm,16.24361369930789,2.055993082200151,5.708351929395145,0.12657239455822278,5.0
ceramic,Banach,BV total variation,35806.692492691596,nm,7149.0134759804005,1084.049741996328,3009.8045999566416,0.15163627060412888,5.0
ceramic,Banach,BV density,1.6577939947539977,nm/sample,1.6552473896689974,0.2509955410966261,0.6968753415042004,0.1516362706041289,5.0
ceramic,Banach,W12 gradient,1.2923631110837062,nm/sample,1.2180129925191976,0.20264404830247335,0.5626300760068684,0.16637264918114525,5.0
