sample,input_folder,total_available_frames,processed_frames,valid_phase_frames,failed_phase_frames,frame_selection,per_sweep_frame_limit,downsample,wavelength_nm,fringe_order_to_height_scale_nm,frames_per_sweep,angle_step_deg,max_radius_px,min_radius_px,phase_retrieval_method,phase_refinement_method,phase_unwrapping_method,continuous_frame_sequence,phase_tracking_method,sample_model,peak_spline_smoothing_factor,mean_detected_rings,median_ring_fit_r_squared,mean_corrected_missing_ring_orders,fraction_images_with_corrected_missing_orders,max_corrected_order_increment,median_ring_fit_residual_order_rmse,median_phase_tracking_continuity_error,median_sinusoidal_fit_r_squared,sinusoidal_refinement_used_fraction,eccentricity_cos_nm,eccentricity_sin_nm,eccentricity_amplitude_nm,linear_trend_slope_nm_per_sample,linear_trend_intercept_nm,roundness_RONt_nm,roundness_RONq_nm,profile_smoothed_mean_nm,profile_smoothed_Ra_nm,profile_smoothed_Rq_nm,profile_smoothed_Rp_nm,profile_smoothed_Rv_nm,profile_smoothed_Rz_nm,banach_l1_mean_nm,banach_l2_rms_nm,banach_linf_nm,banach_bv_total_variation_nm,banach_bv_total_variation_density_nm_per_sample,banach_w12_gradient_seminorm_nm_per_sample,banach_w12_norm_nm,profile_smoothed_mean_nm_sweep_mean,profile_smoothed_mean_nm_sweep_n,profile_smoothed_mean_nm_sweep_sd,profile_smoothed_mean_nm_standard_uncertainty,profile_smoothed_mean_nm_expanded_uncertainty_95,profile_smoothed_mean_nm_relative_standard_uncertainty,profile_smoothed_Ra_nm_sweep_mean,profile_smoothed_Ra_nm_sweep_n,profile_smoothed_Ra_nm_sweep_sd,profile_smoothed_Ra_nm_standard_uncertainty,profile_smoothed_Ra_nm_expanded_uncertainty_95,profile_smoothed_Ra_nm_relative_standard_uncertainty,profile_smoothed_Rq_nm_sweep_mean,profile_smoothed_Rq_nm_sweep_n,profile_smoothed_Rq_nm_sweep_sd,profile_smoothed_Rq_nm_standard_uncertainty,profile_smoothed_Rq_nm_expanded_uncertainty_95,profile_smoothed_Rq_nm_relative_standard_uncertainty,profile_smoothed_Rp_nm_sweep_mean,profile_smoothed_Rp_nm_sweep_n,profile_smoothed_Rp_nm_sweep_sd,profile_smoothed_Rp_nm_standard_uncertainty,profile_smoothed_Rp_nm_expanded_uncertainty_95,profile_smoothed_Rp_nm_relative_standard_uncertainty,profile_smoothed_Rv_nm_sweep_mean,profile_smoothed_Rv_nm_sweep_n,profile_smoothed_Rv_nm_sweep_sd,profile_smoothed_Rv_nm_standard_uncertainty,profile_smoothed_Rv_nm_expanded_uncertainty_95,profile_smoothed_Rv_nm_relative_standard_uncertainty,profile_smoothed_Rz_nm_sweep_mean,profile_smoothed_Rz_nm_sweep_n,profile_smoothed_Rz_nm_sweep_sd,profile_smoothed_Rz_nm_standard_uncertainty,profile_smoothed_Rz_nm_expanded_uncertainty_95,profile_smoothed_Rz_nm_relative_standard_uncertainty,banach_l1_mean_nm_sweep_mean,banach_l1_mean_nm_sweep_n,banach_l1_mean_nm_sweep_sd,banach_l1_mean_nm_standard_uncertainty,banach_l1_mean_nm_expanded_uncertainty_95,banach_l1_mean_nm_relative_standard_uncertainty,banach_l2_rms_nm_sweep_mean,banach_l2_rms_nm_sweep_n,banach_l2_rms_nm_sweep_sd,banach_l2_rms_nm_standard_uncertainty,banach_l2_rms_nm_expanded_uncertainty_95,banach_l2_rms_nm_relative_standard_uncertainty,banach_linf_nm_sweep_mean,banach_linf_nm_sweep_n,banach_linf_nm_sweep_sd,banach_linf_nm_standard_uncertainty,banach_linf_nm_expanded_uncertainty_95,banach_linf_nm_relative_standard_uncertainty,banach_bv_total_variation_nm_sweep_mean,banach_bv_total_variation_nm_sweep_n,banach_bv_total_variation_nm_sweep_sd,banach_bv_total_variation_nm_standard_uncertainty,banach_bv_total_variation_nm_expanded_uncertainty_95,banach_bv_total_variation_nm_relative_standard_uncertainty,banach_bv_total_variation_density_nm_per_sample_sweep_mean,banach_bv_total_variation_density_nm_per_sample_sweep_n,banach_bv_total_variation_density_nm_per_sample_sweep_sd,banach_bv_total_variation_density_nm_per_sample_standard_uncertainty,banach_bv_total_variation_density_nm_per_sample_expanded_uncertainty_95,banach_bv_total_variation_density_nm_per_sample_relative_standard_uncertainty,banach_w12_gradient_seminorm_nm_per_sample_sweep_mean,banach_w12_gradient_seminorm_nm_per_sample_sweep_n,banach_w12_gradient_seminorm_nm_per_sample_sweep_sd,banach_w12_gradient_seminorm_nm_per_sample_standard_uncertainty,banach_w12_gradient_seminorm_nm_per_sample_expanded_uncertainty_95,banach_w12_gradient_seminorm_nm_per_sample_relative_standard_uncertainty,banach_w12_norm_nm_sweep_mean,banach_w12_norm_nm_sweep_n,banach_w12_norm_nm_sweep_sd,banach_w12_norm_nm_standard_uncertainty,banach_w12_norm_nm_expanded_uncertainty_95,banach_w12_norm_nm_relative_standard_uncertainty,roundness_RONt_nm_sweep_mean,roundness_RONt_nm_sweep_n,roundness_RONt_nm_sweep_sd,roundness_RONt_nm_standard_uncertainty,roundness_RONt_nm_expanded_uncertainty_95,roundness_RONt_nm_relative_standard_uncertainty,roundness_RONq_nm_sweep_mean,roundness_RONq_nm_sweep_n,roundness_RONq_nm_sweep_sd,roundness_RONq_nm_standard_uncertainty,roundness_RONq_nm_expanded_uncertainty_95,roundness_RONq_nm_relative_standard_uncertainty,step_edge_sample,step_left_level_nm,step_right_level_nm,step_height_nm,step_depth_nm,step_depth_nm_sweep_mean,step_depth_nm_sweep_n,step_depth_nm_sweep_sd,step_depth_nm_standard_uncertainty,step_depth_nm_expanded_uncertainty_95,step_depth_nm_relative_standard_uncertainty
ceramic,ceramic,24000.0,20.0,20.0,0.0,first,,1.0,532.0,266.0,4800.0,0.08333333333333333,240.0,50.0,per-image radial excess-fraction fringe analysis with spline-smoothed maxima detection,continuity-aware peak-subset EFM with optional full radial-profile sinusoidal least-squares refinement,global unwrap of the continuous chronological epsilon sequence,1.0,continuity-aware EFM peak-subset selection within each sweep,ceramic-roundness,0.03,3.0,0.9998945726829394,0.0,0.0,1.0,0.00838404963497381,0.022093110938669502,0.9043240381285764,1.0,-53461.42538931783,4507.021178767423,53651.06937017617,-1.8865890993712722e-05,0.0001792259644398956,45.75180596118432,14.587621767732882,3.552713678800501e-16,12.954538547087157,14.493657276053348,25.04158660278167,22.024514916746632,47.0661015195283,12.954538547087157,14.493657276053348,25.04158660278167,126.37554947315894,6.651344709113628,7.2742925282799,16.216702285689372,3.552713678800501e-16,1.0,0.0,0.0,0.0,0.0,12.954538547087157,1.0,0.0,0.0,0.0,0.0,14.493657276053348,1.0,0.0,0.0,0.0,0.0,25.04158660278167,1.0,0.0,0.0,0.0,0.0,22.024514916746632,1.0,0.0,0.0,0.0,0.0,47.0661015195283,1.0,0.0,0.0,0.0,0.0,12.954538547087157,1.0,0.0,0.0,0.0,0.0,14.493657276053348,1.0,0.0,0.0,0.0,0.0,25.04158660278167,1.0,0.0,0.0,0.0,0.0,126.37554947315894,1.0,0.0,0.0,0.0,0.0,6.651344709113628,1.0,0.0,0.0,0.0,0.0,7.2742925282799,1.0,0.0,0.0,0.0,0.0,16.216702285689372,1.0,0.0,0.0,0.0,0.0,45.75180596118432,1.0,0.0,0.0,0.0,0.0,14.587621767732882,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
steel,steel,100000.0,20.0,20.0,0.0,first,,1.0,532.0,266.0,20000.0,0.02,240.0,5.0,per-image radial excess-fraction fringe analysis with spline-smoothed maxima detection,continuity-aware peak-subset EFM with optional full radial-profile sinusoidal least-squares refinement,global unwrap of the continuous chronological epsilon sequence,1.0,continuity-aware EFM peak-subset selection within each sweep,step,0.03,3.0,0.9994013474756436,0.05,0.05,2.0,0.019977648690980575,0.04662485397830807,0.7430077520986993,0.95,,,,55.5799648589476,-532.7256354825607,,,-1.554312234475219e-16,8.64544641136613,11.512660353742499,29.448275968174645,19.161928431821522,48.610204399996164,8.64544641136613,11.512660353742499,29.448275968174645,266.96957974545023,14.051030512918434,9.085623134432163,14.665943411917397,-1.554312234475219e-16,1.0,0.0,0.0,0.0,0.0,8.64544641136613,1.0,0.0,0.0,0.0,0.0,11.512660353742499,1.0,0.0,0.0,0.0,0.0,29.448275968174645,1.0,0.0,0.0,0.0,0.0,19.161928431821522,1.0,0.0,0.0,0.0,0.0,48.610204399996164,1.0,0.0,0.0,0.0,0.0,8.64544641136613,1.0,0.0,0.0,0.0,0.0,11.512660353742499,1.0,0.0,0.0,0.0,0.0,29.448275968174645,1.0,0.0,0.0,0.0,0.0,266.96957974545023,1.0,0.0,0.0,0.0,0.0,14.051030512918434,1.0,0.0,0.0,0.0,0.0,9.085623134432163,1.0,0.0,0.0,0.0,0.0,14.665943411917397,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,6.0,-4.1307989980126365,1.9316451638202068,6.062444161832843,6.062444161832843,6.062444161832843,1.0,0.0,0.0,0.0,0.0
