sample,family,descriptor,value,unit,sweep_mean,standard_uncertainty,expanded_uncertainty_95,relative_standard_uncertainty,repeat_count
ceramic,ISO/profile,Ra,12.954538547087157,nm,12.954538547087157,0.0,0.0,0.0,1.0
ceramic,ISO/profile,Rz,47.0661015195283,nm,47.0661015195283,0.0,0.0,0.0,1.0
ceramic,ISO/roundness,RONt,45.75180596118432,nm,45.75180596118432,0.0,0.0,0.0,1.0
ceramic,Banach,L1 mean,12.954538547087157,nm,12.954538547087157,0.0,0.0,0.0,1.0
ceramic,Banach,L2 RMS,14.493657276053348,nm,14.493657276053348,0.0,0.0,0.0,1.0
ceramic,Banach,L infinity,25.04158660278167,nm,25.04158660278167,0.0,0.0,0.0,1.0
ceramic,Banach,BV total variation,126.37554947315894,nm,126.37554947315894,0.0,0.0,0.0,1.0
ceramic,Banach,BV density,6.651344709113628,nm/sample,6.651344709113628,0.0,0.0,0.0,1.0
ceramic,Banach,W12 gradient,7.2742925282799,nm/sample,7.2742925282799,0.0,0.0,0.0,1.0
steel,ISO/profile,Ra,8.64544641136613,nm,8.64544641136613,0.0,0.0,0.0,1.0
steel,ISO/profile,Rz,48.610204399996164,nm,48.610204399996164,0.0,0.0,0.0,1.0
steel,ISO/step,step depth,6.062444161832843,nm,6.062444161832843,0.0,0.0,0.0,1.0
steel,Banach,L1 mean,8.64544641136613,nm,8.64544641136613,0.0,0.0,0.0,1.0
steel,Banach,L2 RMS,11.512660353742499,nm,11.512660353742499,0.0,0.0,0.0,1.0
steel,Banach,L infinity,29.448275968174645,nm,29.448275968174645,0.0,0.0,0.0,1.0
steel,Banach,BV total variation,266.96957974545023,nm,266.96957974545023,0.0,0.0,0.0,1.0
steel,Banach,BV density,14.051030512918434,nm/sample,14.051030512918434,0.0,0.0,0.0,1.0
steel,Banach,W12 gradient,9.085623134432163,nm/sample,9.085623134432163,0.0,0.0,0.0,1.0
