sample,family,descriptor,value,unit,sweep_mean,standard_uncertainty,expanded_uncertainty_95,relative_standard_uncertainty,repeat_count
ceramic,ISO/profile,Ra,89.33065875255976,nm,89.35634360970258,14.684780053165998,40.771485699519005,0.1643395360636878,5.0
ceramic,ISO/profile,Rz,535.4389502225821,nm,362.2821114125403,45.331677084069035,125.86091295047069,0.12512811330187001,5.0
ceramic,ISO/roundness,RONt,530.5369886776573,nm,364.1652494108069,42.86457385338308,119.011136261615,0.11770638171196968,5.0
ceramic,Banach,L1 mean,89.33065875255976,nm,89.35634360970258,14.684780053165998,40.771485699519005,0.1643395360636878,5.0
ceramic,Banach,L2 RMS,108.24973090537026,nm,103.15675107795914,16.404523534409513,45.54625907021339,0.15902520545661664,5.0
ceramic,Banach,L infinity,292.70997226388823,nm,208.43657569201378,21.112456204175235,58.61757568678523,0.10128959437220382,5.0
ceramic,Banach,BV total variation,3705.1237897125143,nm,609.4203560899257,89.43481054435767,248.31084197017435,0.14675389433686842,5.0
ceramic,Banach,BV density,18.61871251111816,nm/sample,15.626162976664764,2.293200270368146,6.366944665901908,0.14675389433686842,5.0
ceramic,Banach,W12 gradient,30.97159459200713,nm/sample,21.26075812564204,2.8511731004696657,7.916125598870635,0.13410495917504187,5.0
steel,ISO/profile,Ra,299.52945069245436,nm,185.26622911304688,35.01572555528371,97.21923982291693,0.18900220360137843,5.0
steel,ISO/profile,Rz,1755.88257186881,nm,824.8137465419986,108.33452785357093,300.7848695829616,0.13134423172232454,5.0
steel,ISO/step,step depth,226.60284689765044,nm,0.0,0.0,0.0,,5.0
steel,Banach,L1 mean,299.52945069245436,nm,185.26622911304688,35.01572555528371,97.21923982291693,0.18900220360137843,5.0
steel,Banach,L2 RMS,395.5202747191152,nm,226.03967621790554,37.88108079532858,105.17474135379237,0.16758598060815955,5.0
steel,Banach,L infinity,901.0667742011022,nm,475.6159414065639,77.46926985702554,215.08917509778593,0.16288198757157218,5.0
steel,Banach,BV total variation,7740.562097388575,nm,1374.6116180206147,99.84890464478096,277.22500256036386,0.07263790247063338,5.0
steel,Banach,BV density,38.897296971801886,nm/sample,35.246451744118325,2.560228324225153,7.108333398983689,0.07263790247063338,5.0
steel,Banach,W12 gradient,54.41097230461138,nm/sample,44.2247282523209,3.787790201036891,10.516591563185061,0.08564869363189606,5.0
