sample,profile_smoothed_Ra_nm,profile_smoothed_Rq_nm,profile_smoothed_Rz_nm,roundness_RONt_nm,roundness_RONq_nm,banach_l1_mean_nm,banach_l2_rms_nm,banach_linf_nm
ceramic,81.14288206636058,97.31522155201036,505.7349075993237,524.4177092719807,97.84177540373508,81.14288206636058,97.31522155201036,264.58684403071624
steel,9257.550441431202,11500.220284988602,51937.03008362069,48440.4034542824,11563.24231368052,9257.550441431202,11500.220284988602,26264.320619966227
