object,omega_deg_s,fps,revolutions,total_frames,angular_step_deg_per_frame,frames_per_degree,useful_frames_per_360_deg,acquired_frames_per_400_deg,observed_frames_per_recorded_run,observed_angle_per_recorded_run_deg,overlap_degrees_per_run,overlap_frames_per_run,nominal_total_frames_360_deg_only,nominal_total_frames_400_deg_recorded,useful_duration_per_360_s,recorded_duration_per_run_s,total_acquisition_duration_s,pixels_per_frame,total_pixel_samples,angular_pixel_samples_per_degree,nyquist_harmonic_per_360_deg,minimum_angular_wavelength_deg,arc_step_um_ceramic_equator,nyquist_arc_wavelength_um_ceramic
Ceramic,0.5,6.0,5,24000,0.08333333333333333,12.0,4320.0,4800.0,4800.0,400.0,40.0,480.0,21600.0,24000.0,720.0,800.0,4000.0,316224,7589376000,3794688.0,2160.0,0.16666666666666666,21.786654164436552,43.573308328873104
Steel,0.08,4.0,5,100000,0.02,50.0,18000.0,20000.0,20000.0,400.0,40.0,2000.0,90000.0,100000.0,4500.0,5000.0,25000.0,307200,30720000000,15360000.0,9000.0,0.04,,
