sample,family,descriptor,value,unit,sweep_mean,standard_uncertainty,expanded_uncertainty_95,relative_standard_uncertainty,repeat_count
ceramic,ISO/profile,Ra,129.41859718198984,nm,129.40951829638294,37.41162251025679,103.87131619611026,0.28909482859347346,5.0
ceramic,ISO/profile,Rz,1045.1122371378408,nm,568.2447206309928,152.15056877798116,422.43770193668684,0.2677553583058888,5.0
ceramic,ISO/roundness,RONt,1038.3758738548659,nm,540.3920912806591,150.57587445623116,418.0656495948813,0.27864189148176816,5.0
ceramic,Banach,L1 mean,129.41859718198984,nm,129.40951829638294,37.41162251025679,103.87131619611026,0.28909482859347346,5.0
ceramic,Banach,L2 RMS,172.24610655841374,nm,149.58982812885452,42.69472470590824,118.53955942748647,0.28541195106616224,5.0
ceramic,Banach,L infinity,533.8262844578094,nm,301.5574893384388,76.05674544717876,211.16737861409442,0.25221308750790156,5.0
ceramic,Banach,BV total variation,4858.1357348383735,nm,728.9152524286613,145.3759487071216,403.62834120137404,0.1994414964191595,5.0
ceramic,Banach,BV density,12.175778784056074,nm/sample,9.226775347198245,1.8402018823686277,5.109219508878152,0.19944149641915948,5.0
ceramic,Banach,W12 gradient,31.47518780422521,nm/sample,14.444221954841463,2.8644027767754743,7.952857068893248,0.1983078621839769,5.0
steel,ISO/profile,Ra,919.4823382766785,nm,827.5309887926229,220.34721033874487,611.781933588998,0.26627064523617894,5.0
steel,ISO/profile,Rz,5810.263794372691,nm,3449.4268732774785,790.42979992351,2194.5849490001046,0.22914815387069848,5.0
steel,ISO/step,step depth,468.85986040799895,nm,0.0,0.0,0.0,,5.0
steel,Banach,L1 mean,919.4823382766785,nm,827.5309887926229,220.34721033874487,611.781933588998,0.26627064523617894,5.0
steel,Banach,L2 RMS,1129.954639956607,nm,955.8685185185507,246.50059478169098,684.395369809972,0.25788127760890067,5.0
steel,Banach,L infinity,3007.266652358354,nm,1921.1215354220985,371.4383825320045,1031.2782790635713,0.19334455196266073,5.0
steel,Banach,BV total variation,29755.727271678807,nm,4790.239617721059,901.0648057657995,2501.7569694344593,0.18810432831635218,5.0
steel,Banach,BV density,74.57575757312983,nm/sample,60.63594452811468,11.405883617288602,31.667809739676702,0.18810432831635218,5.0
steel,Banach,W12 gradient,188.12840335667042,nm/sample,127.24636516955074,18.309670104056316,50.83579393819363,0.1438914980373656,5.0
