"artefact","file","sequence_index","Ra","Rq","PV","step_height","L2_to_mean"
"spherical","00000.png",0,0.234631593779095,0.275681498919701,1.11505354771508,NA,0.249544456521072
"spherical","00242.png",242,0.235170338168215,0.276130510683027,1.11609704628421,NA,0.249980469958334
"spherical","00485.png",485,0.236925541502229,0.277693593399159,1.13493093538826,NA,0.258178431310015
"spherical","00727.png",727,0.235241296048651,0.276236425600931,1.08900349605297,NA,0.251867007077593
"spherical","00970.png",970,0.234029785162323,0.27533527891205,1.10503428391391,NA,0.260563656859557
"spherical","01212.png",1212,0.235775023115834,0.276737447321195,1.09511021096346,NA,0.250210374643663
"spherical","01454.png",1454,0.235994510708947,0.277047001213707,1.10445908491261,NA,0.251908790820294
"spherical","01697.png",1697,0.235014504893614,0.276263118596174,1.11697702498395,NA,0.257073345299622
"spherical","01939.png",1939,0.236862112980078,0.277810152556605,1.0931880919561,NA,0.25120780468115
"spherical","02182.png",2182,0.235304839299021,0.276230929198749,1.12599565404739,NA,0.262725206684187
"spherical","02424.png",2424,0.235209100714021,0.276365089371293,1.08910193004367,NA,0.254329565979507
"spherical","02667.png",2667,0.236848497806154,0.277976987539569,1.11540337903955,NA,0.258591472514139
"spherical","02909.png",2909,0.236610632045759,0.277650940288955,1.12119862404528,NA,0.248383591111014
"spherical","03151.png",3151,0.237601982163984,0.278478840835641,1.115148666611,NA,0.255029213717978
"spherical","03394.png",3394,0.237430142535612,0.278300084175929,1.10944457222504,NA,0.238904546297039
"spherical","03636.png",3636,0.236552720771387,0.277572007411587,1.09344458863468,NA,0.252188458730346
"spherical","03879.png",3879,0.235509074995786,0.276488592543978,1.1221024571202,NA,0.235572260647283
"spherical","04121.png",4121,0.234455295722254,0.275400904347897,1.12032027095006,NA,0.232850489999127
"spherical","04363.png",4363,0.235575263385787,0.27649516816734,1.09279145071498,NA,0.239153328564924
"spherical","04606.png",4606,0.234153702202299,0.275161681354206,1.10115513364629,NA,0.235940514649634
"spherical","04848.png",4848,0.234495526560812,0.275584004920041,1.11109624144147,NA,0.253432313795947
"spherical","05091.png",5091,0.235143310735993,0.276169393752634,1.1084863025848,NA,0.252974482132949
"spherical","05333.png",5333,0.237880430195819,0.278792187525743,1.12436920637346,NA,0.251391793211345
"spherical","05576.png",5576,0.23461759469788,0.27578719604244,1.11050109455777,NA,0.23344653909057
"spherical","05818.png",5818,0.236257964182155,0.27726824045803,1.10848240553036,NA,0.249997102832925
"spherical","06060.png",6060,0.235430936945487,0.276580445983423,1.09805896102294,NA,0.247238917702898
"spherical","06303.png",6303,0.237409288587459,0.278325058815926,1.09220160067779,NA,0.238238293177169
"spherical","06545.png",6545,0.234401499938135,0.275461885451911,1.13619110932021,NA,0.245663813994981
"spherical","06788.png",6788,0.232657094870793,0.273828288524962,1.09998145933126,NA,0.245087252739835
"spherical","07030.png",7030,0.235509922634914,0.27669870593438,1.10580911715185,NA,0.240218182163209
