sample,family,descriptor,value,unit,sweep_mean,standard_uncertainty,expanded_uncertainty_95,relative_standard_uncertainty,repeat_count
ceramic,ISO/profile,Ra,128.53906314338167,nm,128.51590970127407,37.43789559265045,103.94426196712058,0.2913094237100459,5.0
ceramic,ISO/profile,Rz,1052.7398466421537,nm,560.966227756204,155.41009894257098,431.4876085074068,0.27704002710500464,5.0
ceramic,ISO/roundness,RONt,1044.5859070127926,nm,534.1231195092347,157.5871886495417,437.5321785679022,0.295039070382006,5.0
ceramic,Banach,L1 mean,128.53906314338167,nm,128.51590970127407,37.43789559265045,103.94426196712058,0.2913094237100459,5.0
ceramic,Banach,L2 RMS,171.63024288480204,nm,148.20234664915523,43.28005099896235,120.16468574878012,0.2920335067394093,5.0
ceramic,Banach,L infinity,536.8148681190966,nm,297.8041983130272,76.2429158326882,211.68427046967489,0.2560169274462274,5.0
ceramic,Banach,BV total variation,4582.64413187027,nm,686.7142233829929,160.9624619455796,446.90343958939144,0.2343951187622452,5.0
ceramic,Banach,BV density,11.485323638772607,nm/sample,8.692585106113835,2.0374995182984765,5.657005564422678,0.23439511876224522,5.0
ceramic,Banach,W12 gradient,30.43927103151553,nm/sample,14.3096065488807,2.6648975965215103,7.398941887715526,0.18623136753749242,5.0
steel,ISO/profile,Ra,2756.3559250051026,nm,1211.1826955014042,759.9061353102649,2109.837669791961,0.6274083489903889,5.0
steel,ISO/profile,Rz,19816.750008375246,nm,5769.729471764769,3058.654669491072,8492.186785598878,0.5301209847808568,5.0
steel,ISO/step,step depth,250.85746287266602,nm,0.0,0.0,0.0,,5.0
steel,Banach,L1 mean,2756.3559250051026,nm,1211.1826955014042,759.9061353102649,2109.837669791961,0.6274083489903889,5.0
steel,Banach,L2 RMS,4110.470887899995,nm,1452.5979662976665,866.6642887804493,2406.24582243421,0.5966305260562731,5.0
steel,Banach,L infinity,15467.983183531287,nm,3390.0678065101456,1492.3432949976473,4143.409236670972,0.44021045600675396,5.0
steel,Banach,BV total variation,46792.46118546955,nm,7385.566579771867,3740.9113377772555,10386.43497275061,0.5065165004433294,5.0
steel,Banach,BV density,117.27433881070061,nm/sample,93.48818455407427,47.353308073129824,131.4738604145647,0.5065165004433294,5.0
steel,Banach,W12 gradient,507.50283666249027,nm/sample,233.3207069381136,116.63407602377579,323.82810947548023,0.4998873762829461,5.0
