"artefact","file","sequence_index","Ra","Rq","PV","step_height","L2_to_mean"
"step","00000.png",0,0.197632125649322,0.237006995349046,1.41805290355981,0.0412478024161971,0.231642245495746
"step","01010.png",1010,0.205464788464414,0.247079780195883,1.10354525349457,-0.0204451957795728,0.244459116007404
"step","02020.png",2020,0.195535797533615,0.234504845484701,1.17407682083952,-0.0467144935671975,0.231481811278098
"step","03030.png",3030,0.189213258620963,0.228467721350491,1.22499069090251,0.127579494851045,0.222754755556361
"step","04040.png",4040,0.185442104872844,0.22449704641006,1.40012782016517,-0.0422611448989046,0.219251926204282
"step","05050.png",5050,0.195312260069056,0.234829473433368,1.31369694188025,-0.0217610668923134,0.233797235727181
"step","06061.png",6061,0.179936357724988,0.217364877945686,1.40562584866665,0.0495575921853165,0.219610334267735
"step","07071.png",7071,0.185678517793171,0.224808060515014,1.2467852909805,-0.0450340718932425,0.224315381125839
"step","08081.png",8081,0.172629657093773,0.212087581006099,1.32364598146309,-0.140908634325667,0.203445515294292
"step","09091.png",9091,0.173870448474063,0.2169605530354,1.43545079003431,0.0668071572002833,0.213148418962801
"step","10101.png",10101,0.188029875266703,0.22531475374501,1.30123579868555,-0.0284557256023508,0.222594586486761
"step","11111.png",11111,0.197672582534677,0.237957302042256,1.30161129184502,-0.0360711481090952,0.230475733062842
"step","12121.png",12121,0.16978970909088,0.205078115436251,1.23025336239451,-0.0109782374150149,0.204632294639846
"step","13131.png",13131,0.180545180801866,0.215902346314976,1.15973177524162,0.0675167998005237,0.210569866080157
"step","14141.png",14141,0.17486186831809,0.210314936996197,1.2198599574211,0.00406121535335047,0.204643595050239
"step","15151.png",15151,0.175799106910435,0.211048067738401,1.14434846536455,0.0177864430900807,0.204993050930292
"step","16161.png",16161,0.184670199670928,0.221532246774087,1.21245822168355,-0.0539659399563847,0.218205090668334
"step","17172.png",17172,0.187385208995134,0.224351489411476,1.23037589867799,-0.0526499799340329,0.218468502306252
"step","18182.png",18182,0.195129411354897,0.235687539280415,1.46709117049924,0.00282955475869695,0.231130004522464
"step","19192.png",19192,0.195846668792681,0.236216895308386,1.2329991421832,0.0603318440921746,0.233767753556514
"step","20202.png",20202,0.194743233919951,0.235764261310227,1.08235097449602,-0.0348579111280853,0.228959466777999
"step","21212.png",21212,0.165013876989103,0.200979233643363,1.32254804386932,-0.100039099058156,0.196015179900714
"step","22222.png",22222,0.177286280436533,0.214741658835222,1.22482781676446,0.0656544501535223,0.209797852732407
"step","23232.png",23232,0.176083287454214,0.212575738611541,1.46702832013289,-0.0633241118222655,0.203682757370622
"step","24242.png",24242,0.183806643823054,0.222498914318199,1.27668265893081,0.0823367983375281,0.222214627335558
"step","25252.png",25252,0.170897881460212,0.207173350428901,1.23379831376529,0.0607261093579586,0.197516035926861
"step","26262.png",26262,0.17410793073012,0.212231352552314,1.30984208981448,0.0933890600152721,0.202741661523133
"step","27272.png",27272,0.160944484765831,0.195584905701377,1.27619994912362,0.0522141359552026,0.187045668489111
"step","28283.png",28283,0.199275785836992,0.239959927763365,1.1359300457326,-0.0717481164806458,0.240047152674407
"step","29293.png",29293,0.184042099787828,0.222658352904188,1.20350075767507,-0.0942821404439323,0.216861849927784
"step","30303.png",30303,0.170340902683185,0.206207741438879,1.11439866764309,0.0155777133331455,0.204507824090526
"step","31313.png",31313,0.182189246689034,0.218152896827098,1.07572357626302,0.0269706110449611,0.215212925797921
"step","32323.png",32323,0.173306777363398,0.208034767997928,1.30377765534728,-0.0432983125095772,0.198467967779552
"step","33333.png",33333,0.193398830510344,0.22727884336511,1.17597907583298,0.0414613937129718,0.220149259579374
"step","34343.png",34343,0.17247525815724,0.208538194618935,1.05234940676159,-0.00810273963974983,0.208443955441729
"step","35353.png",35353,0.180704801745586,0.217969890533637,1.18885394279152,-0.0328580692395129,0.207048427072765
"step","36363.png",36363,0.204853757151614,0.245346752843725,1.31927004094851,-0.00899213432543416,0.238907024366791
