sample,input_folder,total_available_frames,processed_frames,valid_phase_frames,failed_phase_frames,frame_selection,per_sweep_frame_limit,downsample,wavelength_nm,fringe_order_to_height_scale_nm,frames_per_sweep,angle_step_deg,phase_retrieval_method,phase_refinement_method,phase_unwrapping_method,sample_model,mean_detected_rings,median_ring_fit_r_squared,mean_corrected_missing_ring_orders,fraction_images_with_corrected_missing_orders,max_corrected_order_increment,median_ring_fit_residual_order_rmse,median_sinusoidal_fit_r_squared,sinusoidal_refinement_used_fraction,eccentricity_cos_nm,eccentricity_sin_nm,eccentricity_amplitude_nm,linear_trend_slope_nm_per_sample,linear_trend_intercept_nm,roundness_RONt_nm,roundness_RONq_nm,profile_smoothed_mean_nm,profile_smoothed_Ra_nm,profile_smoothed_Rq_nm,profile_smoothed_Rp_nm,profile_smoothed_Rv_nm,profile_smoothed_Rz_nm,banach_l1_mean_nm,banach_l2_rms_nm,banach_linf_nm,banach_bv_total_variation_nm,banach_bv_total_variation_density_nm_per_sample,banach_w12_gradient_seminorm_nm_per_sample,banach_w12_norm_nm,profile_smoothed_mean_nm_sweep_mean,profile_smoothed_mean_nm_sweep_n,profile_smoothed_mean_nm_sweep_sd,profile_smoothed_mean_nm_standard_uncertainty,profile_smoothed_mean_nm_expanded_uncertainty_95,profile_smoothed_mean_nm_relative_standard_uncertainty,profile_smoothed_Ra_nm_sweep_mean,profile_smoothed_Ra_nm_sweep_n,profile_smoothed_Ra_nm_sweep_sd,profile_smoothed_Ra_nm_standard_uncertainty,profile_smoothed_Ra_nm_expanded_uncertainty_95,profile_smoothed_Ra_nm_relative_standard_uncertainty,profile_smoothed_Rq_nm_sweep_mean,profile_smoothed_Rq_nm_sweep_n,profile_smoothed_Rq_nm_sweep_sd,profile_smoothed_Rq_nm_standard_uncertainty,profile_smoothed_Rq_nm_expanded_uncertainty_95,profile_smoothed_Rq_nm_relative_standard_uncertainty,profile_smoothed_Rp_nm_sweep_mean,profile_smoothed_Rp_nm_sweep_n,profile_smoothed_Rp_nm_sweep_sd,profile_smoothed_Rp_nm_standard_uncertainty,profile_smoothed_Rp_nm_expanded_uncertainty_95,profile_smoothed_Rp_nm_relative_standard_uncertainty,profile_smoothed_Rv_nm_sweep_mean,profile_smoothed_Rv_nm_sweep_n,profile_smoothed_Rv_nm_sweep_sd,profile_smoothed_Rv_nm_standard_uncertainty,profile_smoothed_Rv_nm_expanded_uncertainty_95,profile_smoothed_Rv_nm_relative_standard_uncertainty,profile_smoothed_Rz_nm_sweep_mean,profile_smoothed_Rz_nm_sweep_n,profile_smoothed_Rz_nm_sweep_sd,profile_smoothed_Rz_nm_standard_uncertainty,profile_smoothed_Rz_nm_expanded_uncertainty_95,profile_smoothed_Rz_nm_relative_standard_uncertainty,banach_l1_mean_nm_sweep_mean,banach_l1_mean_nm_sweep_n,banach_l1_mean_nm_sweep_sd,banach_l1_mean_nm_standard_uncertainty,banach_l1_mean_nm_expanded_uncertainty_95,banach_l1_mean_nm_relative_standard_uncertainty,banach_l2_rms_nm_sweep_mean,banach_l2_rms_nm_sweep_n,banach_l2_rms_nm_sweep_sd,banach_l2_rms_nm_standard_uncertainty,banach_l2_rms_nm_expanded_uncertainty_95,banach_l2_rms_nm_relative_standard_uncertainty,banach_linf_nm_sweep_mean,banach_linf_nm_sweep_n,banach_linf_nm_sweep_sd,banach_linf_nm_standard_uncertainty,banach_linf_nm_expanded_uncertainty_95,banach_linf_nm_relative_standard_uncertainty,banach_bv_total_variation_nm_sweep_mean,banach_bv_total_variation_nm_sweep_n,banach_bv_total_variation_nm_sweep_sd,banach_bv_total_variation_nm_standard_uncertainty,banach_bv_total_variation_nm_expanded_uncertainty_95,banach_bv_total_variation_nm_relative_standard_uncertainty,banach_bv_total_variation_density_nm_per_sample_sweep_mean,banach_bv_total_variation_density_nm_per_sample_sweep_n,banach_bv_total_variation_density_nm_per_sample_sweep_sd,banach_bv_total_variation_density_nm_per_sample_standard_uncertainty,banach_bv_total_variation_density_nm_per_sample_expanded_uncertainty_95,banach_bv_total_variation_density_nm_per_sample_relative_standard_uncertainty,banach_w12_gradient_seminorm_nm_per_sample_sweep_mean,banach_w12_gradient_seminorm_nm_per_sample_sweep_n,banach_w12_gradient_seminorm_nm_per_sample_sweep_sd,banach_w12_gradient_seminorm_nm_per_sample_standard_uncertainty,banach_w12_gradient_seminorm_nm_per_sample_expanded_uncertainty_95,banach_w12_gradient_seminorm_nm_per_sample_relative_standard_uncertainty,banach_w12_norm_nm_sweep_mean,banach_w12_norm_nm_sweep_n,banach_w12_norm_nm_sweep_sd,banach_w12_norm_nm_standard_uncertainty,banach_w12_norm_nm_expanded_uncertainty_95,banach_w12_norm_nm_relative_standard_uncertainty,roundness_RONt_nm_sweep_mean,roundness_RONt_nm_sweep_n,roundness_RONt_nm_sweep_sd,roundness_RONt_nm_standard_uncertainty,roundness_RONt_nm_expanded_uncertainty_95,roundness_RONt_nm_relative_standard_uncertainty,roundness_RONq_nm_sweep_mean,roundness_RONq_nm_sweep_n,roundness_RONq_nm_sweep_sd,roundness_RONq_nm_standard_uncertainty,roundness_RONq_nm_expanded_uncertainty_95,roundness_RONq_nm_relative_standard_uncertainty,step_edge_sample,step_left_level_nm,step_right_level_nm,step_height_nm,step_depth_nm,step_depth_nm_sweep_mean,step_depth_nm_sweep_n,step_depth_nm_sweep_sd,step_depth_nm_standard_uncertainty,step_depth_nm_expanded_uncertainty_95,step_depth_nm_relative_standard_uncertainty
ceramic,ceramic,24000.0,200.0,200.0,0.0,first,40.0,1.0,532.0,266.0,4800.0,0.08333333333333333,per-image radial excess-fraction fringe analysis,full radial-profile sinusoidal least-squares fit initialised by ring diameters,independent sequence unwrap of per-image epsilon values within each sweep,ceramic-roundness,7.445,0.9042309124662248,2.05,0.86,3.0,0.8540869626750505,0.006578898098775543,0.0,148394.52096798347,8254.468250650207,148623.92169303796,-4.43818149057817e-06,0.000441599058313228,915.5590781516305,188.56439499965072,4.547473508864641e-15,152.80219648509456,186.7725314072926,448.92903607934284,465.8996481719035,914.8286842512464,152.80219648509456,186.7725314072926,465.8996481719035,11478.470768749632,57.680757631907696,62.953274366566674,197.0966596413047,3.552713678800501e-15,5.0,0.3739782971207212,0.1672481788943093,0.4643553876443508,47076177259175.336,152.79320388752413,5.0,48.476792630206596,21.679480730460554,60.1918881573172,0.14188772915855277,181.3845279318207,5.0,49.793569206089266,22.268361117431166,61.82688222526875,0.1227688015694561,315.88952085447625,5.0,88.01444526147868,39.361256521320115,109.28436800305417,0.12460450227930489,350.5818347162673,5.0,80.61083276121727,36.050260355389774,100.0915689048282,0.10282980116344577,666.4713555707434,5.0,142.10765827705316,63.5524768061603,176.4499631516604,0.09535665152741053,152.79320388752413,5.0,48.476792630206596,21.679480730460554,60.1918881573172,0.14188772915855277,181.3845279318207,5.0,49.793569206089266,22.268361117431166,61.82688222526875,0.1227688015694561,365.110788848279,5.0,91.88583591277454,41.09259505407106,114.09133439775087,0.11254829029757046,2083.685418652979,5.0,114.40269491489306,51.16244052777408,142.04970757331182,0.024553821834031257,53.42783124751228,5.0,2.933402433715206,1.3118574494301043,3.6423001941874817,0.024553821834031254,52.91562871605911,5.0,4.107284212050506,1.8368333402113184,5.099866936493838,0.034712492032696315,189.15944383858832,5.0,48.94041014904438,21.886816787996768,60.76754533939464,0.11570565203539619,678.3668974045847,5.0,135.8582023373279,60.75763514543719,168.69023870294285,0.08956456362758033,183.34252944666324,5.0,49.27027447766722,22.03433660042737,61.17712600053728,0.12018126218138302,,,,,,,,,,,
steel,steel,100000.0,200.0,200.0,0.0,first,40.0,1.0,532.0,266.0,20000.0,0.02,per-image radial excess-fraction fringe analysis,full radial-profile sinusoidal least-squares fit initialised by ring diameters,independent sequence unwrap of per-image epsilon values within each sweep,step,8.975,0.9108554473237962,1.325,0.74,3.0,0.8751426937207847,0.023728228175453614,0.0,,,,-0.025409334590411625,-32.650355229237164,,,0.0,190.24493800410178,245.07439284486736,630.7118831669015,578.2400309093572,1208.9519140762586,190.24493800410178,245.07439284486736,630.7118831669015,11390.197710639608,57.23717442532466,58.9056242543448,252.05422154186274,0.0,5.0,186.52515389679877,83.41658472537037,231.60156835307203,,140.59786940483576,5.0,46.968375605616096,21.00489612938009,58.31894104360554,0.14939697321371814,173.2957567726498,5.0,52.40148237282253,23.43465534147763,65.06503411484302,0.135229250720905,384.7011000399624,5.0,115.62217137530584,51.70780698026284,143.56388759086332,0.13441034344557756,291.65399422204234,5.0,59.60125147049394,26.65448996641675,74.00472819880163,0.09139079352406923,676.3550942620049,5.0,168.47228399338218,75.34309586677045,209.18596972974333,0.11139576903605641,140.59786940483576,5.0,46.968375605616096,21.00489612938009,58.31894104360554,0.14939697321371814,173.2957567726498,5.0,52.40148237282253,23.43465534147763,65.06503411484302,0.135229250720905,384.7011000399624,5.0,115.62217137530584,51.70780698026284,143.56388759086332,0.13441034344557756,2116.1656815365304,5.0,180.97529493026957,80.93461234243117,224.71050827922437,0.038245876988074586,54.260658500936664,5.0,4.640392177699218,2.075246470318747,5.761807904595494,0.03824587698807458,53.74236432117618,5.0,4.507258685531588,2.0157073626049957,5.596500840415805,0.03750686051991843,181.75712716609073,5.0,51.19805112437126,22.896464525920734,63.57077685932766,0.1259728566517109,,,,,,,,,,,,,131.0,39.00706873539707,-10.307895491884231,-49.3149642272813,49.3149642272813,9.86299284545626,5.0,22.054322464034275,9.86299284545626,27.384058208367943,1.0
