sample,family,descriptor,value,unit,sweep_mean,standard_uncertainty,expanded_uncertainty_95,relative_standard_uncertainty,repeat_count
ceramic,ISO/profile,Ra,152.80219648509456,nm,152.79320388752413,21.679480730460554,60.1918881573172,0.14188772915855277,5.0
ceramic,ISO/profile,Rz,914.8286842512464,nm,666.4713555707434,63.5524768061603,176.4499631516604,0.09535665152741053,5.0
ceramic,ISO/roundness,RONt,915.5590781516305,nm,678.3668974045847,60.75763514543719,168.69023870294285,0.08956456362758033,5.0
ceramic,Banach,L1 mean,152.80219648509456,nm,152.79320388752413,21.679480730460554,60.1918881573172,0.14188772915855277,5.0
ceramic,Banach,L2 RMS,186.7725314072926,nm,181.3845279318207,22.268361117431166,61.82688222526875,0.1227688015694561,5.0
ceramic,Banach,L infinity,465.8996481719035,nm,365.110788848279,41.09259505407106,114.09133439775087,0.11254829029757046,5.0
ceramic,Banach,BV total variation,11478.470768749632,nm,2083.685418652979,51.16244052777408,142.04970757331182,0.024553821834031257,5.0
ceramic,Banach,BV density,57.680757631907696,nm/sample,53.42783124751228,1.3118574494301043,3.6423001941874817,0.024553821834031254,5.0
ceramic,Banach,W12 gradient,62.953274366566674,nm/sample,52.91562871605911,1.8368333402113184,5.099866936493838,0.034712492032696315,5.0
steel,ISO/profile,Ra,190.24493800410178,nm,140.59786940483576,21.00489612938009,58.31894104360554,0.14939697321371814,5.0
steel,ISO/profile,Rz,1208.9519140762586,nm,676.3550942620049,75.34309586677045,209.18596972974333,0.11139576903605641,5.0
steel,ISO/step,step depth,49.3149642272813,nm,9.86299284545626,9.86299284545626,27.384058208367943,1.0,5.0
steel,Banach,L1 mean,190.24493800410178,nm,140.59786940483576,21.00489612938009,58.31894104360554,0.14939697321371814,5.0
steel,Banach,L2 RMS,245.07439284486736,nm,173.2957567726498,23.43465534147763,65.06503411484302,0.135229250720905,5.0
steel,Banach,L infinity,630.7118831669015,nm,384.7011000399624,51.70780698026284,143.56388759086332,0.13441034344557756,5.0
steel,Banach,BV total variation,11390.197710639608,nm,2116.1656815365304,80.93461234243117,224.71050827922437,0.038245876988074586,5.0
steel,Banach,BV density,57.23717442532466,nm/sample,54.260658500936664,2.075246470318747,5.761807904595494,0.03824587698807458,5.0
steel,Banach,W12 gradient,58.9056242543448,nm/sample,53.74236432117618,2.0157073626049957,5.596500840415805,0.03750686051991843,5.0
