"artefact","file","sequence_index","Ra","Rq","PV","step_height","L2_to_mean"
"spherical","00000.png",0,0.234625540584355,0.275674594112494,1.11494124442952,NA,0.196685658199262
"spherical","11999.png",11999,0.235518435236368,0.276500619356245,1.08819395294768,NA,0.108424627813019
"spherical","23999.png",23999,0.235804443313716,0.276759814996836,1.08907256562265,NA,0.188238439775054
"step","00000.png",0,0.197632125649322,0.237006995349046,1.41805290355981,0.0412478024161971,0.174284858561872
"step","49999.png",49999,0.171067725748847,0.205856083437194,1.3394285103059,-0.0314323895263501,0.17170374597748
"step","99999.png",99999,0.179216264942968,0.216270489417574,1.41159933748834,0.149121784422195,0.173862596926829
