sample,family,descriptor,value,unit,sweep_mean,standard_uncertainty,expanded_uncertainty_95,relative_standard_uncertainty,repeat_count
ceramic,ISO/profile,Ra,93.77316064403924,nm,93.75259203175705,15.12833944657453,42.003004006212635,0.16136449263664168,5.0
ceramic,ISO/profile,Rz,561.7012504892845,nm,427.16301250754105,27.731037098645114,76.99370221459179,0.06491909712841899,5.0
ceramic,ISO/roundness,RONt,567.5850541706563,nm,435.40667403955314,25.57837803182433,71.01696248535757,0.058745948458981914,5.0
ceramic,Banach,L1 mean,93.77316064403924,nm,93.75259203175705,15.12833944657453,42.003004006212635,0.16136449263664168,5.0
ceramic,Banach,L2 RMS,121.42681101482472,nm,118.11927403598585,14.072861721880535,39.07252804384068,0.11914111254690865,5.0
ceramic,Banach,L infinity,283.1871732975608,nm,260.6771566696345,12.57314339026632,34.90864242285498,0.048232624411354605,5.0
ceramic,Banach,BV total variation,4712.207804271619,nm,735.9197884018108,64.04378427578638,177.81405137085085,0.08702549555688614,5.0
ceramic,Banach,BV density,23.679436202369946,nm/sample,18.869738164149,1.642148314763753,4.559334650534636,0.08702549555688611,5.0
ceramic,Banach,W12 gradient,40.857690855958,nm/sample,25.47987499789111,3.4702288352173527,9.634899863455477,0.13619489245942426,5.0
steel,ISO/profile,Ra,186.9341078580798,nm,158.570917253338,32.11100870714551,89.15445294791805,0.20250250968684205,5.0
steel,ISO/profile,Rz,1274.8176525666213,nm,658.3805737280305,169.05044496071656,469.3592804426914,0.25676706103808794,5.0
steel,ISO/step,step depth,431.4278700552837,nm,0.0,0.0,0.0,,5.0
steel,Banach,L1 mean,186.9341078580798,nm,158.570917253338,32.11100870714551,89.15445294791805,0.20250250968684205,5.0
steel,Banach,L2 RMS,232.88485926276223,nm,186.94062042575064,38.87950675263775,107.94681621586585,0.2079778416488137,5.0
steel,Banach,L infinity,648.9636387521914,nm,363.3591233050001,81.81377030699782,227.15144210664113,0.22515953242853942,5.0
steel,Banach,BV total variation,8504.595544370612,nm,1485.6245821557368,245.83968699081072,682.5603956089953,0.16547901128162643,5.0
steel,Banach,BV density,42.736661026987996,nm/sample,38.092938003993254,6.303581717713095,17.501548605358852,0.1654790112816264,5.0
steel,Banach,W12 gradient,61.58786703318842,nm/sample,41.07646283885602,4.715364463758883,13.091950584626993,0.11479480310311467,5.0
