sample,family,descriptor,value,unit,sweep_mean,standard_uncertainty,expanded_uncertainty_95,relative_standard_uncertainty,repeat_count
ceramic,ISO/profile,Ra,67.24404275681822,nm,67.23067122820828,15.739973361953957,43.701171996740804,0.234118938193047,5.0
ceramic,ISO/profile,Rz,477.2993438965485,nm,275.0467361151067,59.06249134429147,163.98376499364542,0.21473620148531375,5.0
ceramic,ISO/roundness,RONt,483.06847303094133,nm,282.3314502564346,59.14221115813911,164.20510268059,0.2094779419877655,5.0
ceramic,Banach,L1 mean,67.24404275681822,nm,67.23067122820828,15.739973361953957,43.701171996740804,0.234118938193047,5.0
ceramic,Banach,L2 RMS,86.04255194572544,nm,78.00495881667105,18.155634014099782,50.408121190210004,0.2327497416769304,5.0
ceramic,Banach,L infinity,244.84178744699307,nm,145.75694805456197,30.255082136158137,84.00157470429362,0.2075721434893971,5.0
ceramic,Banach,BV total variation,4858.5019479306275,nm,864.0555165314906,170.37128197609707,473.02651190880863,0.19717631415629977,5.0
ceramic,Banach,BV density,24.414582652917726,nm/sample,22.15526965465361,4.368494409643514,12.128884920738681,0.19717631415629971,5.0
ceramic,Banach,W12 gradient,27.817430880833253,nm/sample,20.652277957536363,1.9733374327738227,5.47886305612847,0.09555059431367563,5.0
steel,ISO/profile,Ra,286.53450574339354,nm,206.26184565905834,50.70858097348345,140.78959143535434,0.2458456667613771,5.0
steel,ISO/profile,Rz,1455.496145184942,nm,832.8137597664776,176.2202465501515,489.2658409709174,0.21159622362575273,5.0
steel,ISO/step,step depth,166.45338656262084,nm,0.0,0.0,0.0,,5.0
steel,Banach,L1 mean,286.53450574339354,nm,206.26184565905834,50.70858097348345,140.78959143535434,0.2458456667613771,5.0
steel,Banach,L2 RMS,334.6102253118077,nm,244.80219992299635,60.16977449502956,167.05807587758017,0.2457893536657605,5.0
steel,Banach,L infinity,751.9178587964846,nm,448.2345277481312,83.16147079064532,230.89325851773694,0.18553115755815855,5.0
steel,Banach,BV total variation,10357.877208120653,nm,1757.4036367326426,186.08484352071412,516.6543529445851,0.10588622877023418,5.0
steel,Banach,BV density,52.049634211661576,nm/sample,45.0616317110934,4.771406244120875,13.247547511399617,0.1058862287702342,5.0
steel,Banach,W12 gradient,75.11578580446007,nm/sample,53.961672728667466,4.299036294427243,11.936038276730201,0.07966832896459404,5.0
