sample,family,descriptor,value,unit,sweep_mean,standard_uncertainty,expanded_uncertainty_95,relative_standard_uncertainty,repeat_count
ceramic,ISO/profile,Ra,64.04178528521035,nm,64.03829651315927,15.709148008564947,43.61558709520789,0.24530864910400707,5.0
ceramic,ISO/profile,Rz,501.91367677540654,nm,287.458129316688,63.34302549627223,175.86843308754442,0.22035565891576595,5.0
ceramic,ISO/roundness,RONt,504.52433913752463,nm,284.19118165081574,63.954950249970004,177.56740857469796,0.2250419941902037,5.0
ceramic,Banach,L1 mean,64.04178528521035,nm,64.03829651315927,15.709148008564947,43.61558709520789,0.24530864910400707,5.0
ceramic,Banach,L2 RMS,86.41218467929292,nm,77.7859042344279,18.817382597051402,52.24542980421761,0.2419125005006095,5.0
ceramic,Banach,L infinity,258.33447024676195,nm,159.88845495769198,29.682580719458127,82.41205594817806,0.1856455535036124,5.0
ceramic,Banach,BV total variation,4543.576768085952,nm,843.98956042031,46.440259404479846,128.93883090768412,0.055024684643436135,5.0
ceramic,Banach,BV density,22.832044060733427,nm/sample,21.640757959495126,1.1907758821661496,3.306123869427797,0.05502468464343613,5.0
ceramic,Banach,W12 gradient,26.969121147230034,nm/sample,25.126602621394238,2.542627017106927,7.059464335990207,0.10119263059232639,5.0
steel,ISO/profile,Ra,271.6456050686158,nm,184.1345721730632,70.66458358893938,196.19633721635145,0.38376597482477987,5.0
steel,ISO/profile,Rz,1552.3928497155762,nm,777.7289582745409,275.67240672008023,765.3893042760635,0.35445820010570694,5.0
steel,ISO/step,step depth,37.25979536306721,nm,0.0,0.0,0.0,,5.0
steel,Banach,L1 mean,271.6456050686158,nm,184.1345721730632,70.66458358893938,196.19633721635145,0.38376597482477987,5.0
steel,Banach,L2 RMS,327.5817990049862,nm,214.61463434098272,79.41141550140473,220.48143586570376,0.3700186417634259,5.0
steel,Banach,L infinity,953.4645882794133,nm,436.0854065047888,163.25171241744312,453.25941785656863,0.37435720155347685,5.0
steel,Banach,BV total variation,11211.46160000833,nm,1689.6114017010466,205.2587988183858,569.8897872780869,0.12148284428699867,5.0
steel,Banach,BV density,56.339003015117235,nm/sample,43.323369274385804,5.263046123548355,14.612558648156078,0.12148284428699871,5.0
steel,Banach,W12 gradient,100.57684868652706,nm/sample,47.42730693363659,4.792902771509734,13.307231439647165,0.10105787322515022,5.0
