sample,family,descriptor,value,unit,sweep_mean,standard_uncertainty,expanded_uncertainty_95,relative_standard_uncertainty,repeat_count
ceramic,ISO/profile,Ra,86.28201258981899,nm,86.31306806347281,0.714982539641391,1.9851097724892313,0.008283595470336056,5.0
ceramic,ISO/profile,Rq,105.02672631280332,nm,104.99057771379043,1.1932299615920021,3.312937486237472,0.011365114732912573,5.0
ceramic,ISO/profile,Rz,500.0453179025086,nm,450.0942747341236,10.949155716287107,30.399729794533837,0.02432636078909227,5.0
ceramic,ISO/roundness,RONt,534.3896585674669,nm,478.795155043086,11.79728649887552,32.75451835441901,0.024639527728332798,5.0
ceramic,ISO/roundness,RONq,105.64524256711088,nm,105.6188185260321,1.1813604687812602,3.279982491021907,0.011185132396553818,5.0
ceramic,Banach,L1 mean,86.28201258981899,nm,86.31306806347281,0.714982539641391,1.9851097724892313,0.008283595470336056,5.0
ceramic,Banach,L2 RMS,105.02672631280332,nm,104.99057771379043,1.1932299615920021,3.312937486237472,0.011365114732912573,5.0
ceramic,Banach,L infinity,271.0798521379593,nm,238.36061162163293,8.039430240674193,22.321036740299025,0.033728014817463896,5.0
ceramic,Banach,BV total variation,49861.3690911811,nm,9966.196180128547,155.33973812478115,431.2922555592565,0.015586662686262466,5.0
ceramic,Banach,BV density,2.216159344467803,nm/sample,2.215202529479562,0.03452761460875334,0.09586402657462921,0.015586662686262473,5.0
ceramic,Banach,W12 gradient,2.831983232956029,nm/sample,2.830440155771899,0.04552872394845664,0.12640800275259423,0.016085386527467615,5.0
